MANDT	KUNNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	HKONT	AUGDT	AUGBL
100	0000101755	1000	2024	1400000001	001	20240903	20240903	20240903	DZ	15	H		EUR	718,11	718,11		1800000050	Zahlung	20240903		0	0,000	0,00	0,00	E				20240903	1400000001
100	0000102939	1000	2024	1400000002	001	20240903	20240903	20240903	DZ	15	H		EUR	899,39	899,39		1800000035	Zahlung	20240903		0	0,000	0,00	0,00	E				20240903	1400000002
100	0000102574	1000	2024	1400000003	001	20240904	20240904	20240904	DZ	15	H		EUR	66.870,58	66.870,58		1800000012	Zahlung	20240904		0	0,000	0,00	0,00					20240904	1400000003
100	0000102712	1000	2024	1400000005	001	20240905	20240905	20240905	DZ	15	H		EUR	14.570,77	14.570,77		1800000114	Zahlung	20240905		0	0,000	0,00	0,00	E				20240905	1400000005
100	0000101451	1000	2024	1400000007	001	20240906	20240906	20240906	DZ	15	H		EUR	17.528,21	17.528,21		1800000139	Zahlung	20240906		0	0,000	0,00	0,00					20240906	1400000007
100	0000102138	1000	2024	1400000008	001	20240906	20240906	20240906	DZ	15	H		EUR	204,93	204,93		1800000111	Zahlung	20240906		0	0,000	0,00	0,00					20240906	1400000008
100	0000101465	1000	2024	1400000009	001	20240909	20240909	20240909	DZ	15	H		EUR	10.527,21	10.527,21		1800000004	Zahlung	20240909		0	0,000	0,00	0,00	E				20240909	1400000009
100	0000101510	1000	2024	1400000010	001	20240909	20240909	20240909	DZ	15	H		EUR	22.107,89	22.107,89		1800000141	Zahlung	20240909		0	0,000	0,00	0,00	E				20240909	1400000010
100	0000101561	1000	2024	1400000011	001	20240909	20240909	20240909	DZ	15	H		EUR	2.130,29	2.130,29		1800000143	Zahlung	20240909		0	0,000	0,00	0,00	E				20240909	1400000011
100	0000100213	1000	2024	1400000012	001	20240910	20240910	20240910	DZ	15	H		EUR	2.334,58	2.334,58		1800000236	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000012
100	0000100687	1000	2024	1400000014	001	20240910	20240910	20240910	DZ	15	H		EUR	9.005,65	9.005,65		1800000207	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000014
100	0000101433	1000	2024	1400000015	001	20240910	20240910	20240910	DZ	15	H		EUR	5.054,20	5.054,20		1800000003	Zahlung	20240910		0	0,000	0,00	0,00					20240910	1400000015
100	0000101546	1000	2024	1400000016	001	20240910	20240910	20240910	DZ	15	H		EUR	32.604,94	32.604,94		1800000218	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000016
100	0000101843	1000	2024	1400000017	001	20240910	20240910	20240910	DZ	15	H		EUR	1.225,26	1.225,26		1800000110	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000017
100	0000101857	1000	2024	1400000018	001	20240910	20240910	20240910	DZ	15	H		EUR	19.964,82	19.964,82		1800000221	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000018
100	0000102705	1000	2024	1400000019	001	20240910	20240910	20240910	DZ	15	H		EUR	9.608,69	9.608,69		1800000196	Zahlung	20240910		0	0,000	0,00	0,00	E				20240910	1400000019
100	0000100822	1000	2024	1400000020	001	20240911	20240911	20240911	DZ	15	H		EUR	17.641,48	17.641,48		1800000279	Zahlung	20240911		0	0,000	0,00	0,00	E				20240911	1400000020
