MANDT	LIFNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	EBELN	HKONT	AUGDT	AUGBL
100	0000200460	1000	2024	1500000001	001	20240904	20240904	20240904	KZ	25	S		EUR	24.684,80	24.684,80		1900000012	Zahlung	20240904		0	0,000	0,00	0,00	U					20240904	1500000001
100	0000200418	1000	2024	1500000002	001	20240906	20240906	20240906	KZ	25	S		EUR	18.820,52	18.820,52		1900000054	Zahlung	20240906		0	0,000	0,00	0,00	U					20240906	1500000002
100	0000200489	1000	2024	1500000003	001	20240910	20240910	20240910	KZ	25	S		EUR	23.520,58	23.520,58		1900000057	Zahlung	20240910		0	0,000	0,00	0,00	U					20240910	1500000003
100	0000200695	1000	2024	1500000004	001	20240910	20240910	20240910	KZ	25	S		EUR	109.914,76	109.914,76		1900000059	Zahlung	20240910		0	0,000	0,00	0,00	U					20240910	1500000004
100	0000201067	1000	2024	1500000005	001	20240911	20240911	20240911	KZ	25	S		EUR	7.055,65	7.055,65		1900000102	Zahlung	20240911		0	0,000	0,00	0,00	U					20240911	1500000005
100	0000201355	1000	2024	1500000006	001	20240911	20240911	20240911	KZ	25	S		EUR	3.708,04	3.708,04		1900000027	Zahlung	20240911		0	0,000	0,00	0,00	U					20240911	1500000006
100	0000201523	1000	2024	1500000007	001	20240913	20240913	20240913	KZ	25	S		EUR	17.925,74	17.925,74		1900000047	Zahlung	20240913		0	0,000	0,00	0,00	U					20240913	1500000007
100	0000201272	1000	2024	1500000008	001	20240916	20240916	20240916	KZ	25	S		EUR	96.911,71	96.911,71		1900000046	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000008
100	0000201364	1000	2024	1500000009	001	20240916	20240916	20240916	KZ	25	S		EUR	17.570,67	17.570,67		1900000028	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000009
100	0000201383	1000	2024	1500000010	001	20240916	20240916	20240916	KZ	25	S		EUR	18.450,53	18.450,53		1900000090	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000010
100	0000201439	1000	2024	1500000011	001	20240916	20240916	20240916	KZ	25	S		EUR	12.849,37	12.849,37		1900000031	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000011
100	0000201497	1000	2024	1500000012	001	20240916	20240916	20240916	KZ	25	S		EUR	89.416,12	89.416,12		1900000034	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000012
100	0000201503	1000	2024	1500000013	001	20240916	20240916	20240916	KZ	25	S		EUR	21.516,96	21.516,96		1900000010	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000013
100	0000201674	1000	2024	1500000014	001	20240916	20240916	20240916	KZ	25	S		EUR	9.965,16	9.965,16		1900000015	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000014
100	0000201954	1000	2024	1500000015	001	20240916	20240916	20240916	KZ	25	S		EUR	1.079,56	1.079,56		1900000080	Zahlung	20240916		0	0,000	0,00	0,00	U					20240916	1500000015
100	0000200133	1000	2024	1500000016	001	20240917	20240917	20240917	KZ	25	S		EUR	33.122,00	33.122,00		1900000050	Zahlung	20240917		0	0,000	0,00	0,00	U					20240917	1500000016
100	0000200471	1000	2024	1500000017	001	20240917	20240917	20240917	KZ	25	S		EUR	6.974,33	6.974,33		1900000117	Zahlung	20240917		0	0,000	0,00	0,00	U					20240917	1500000017
100	0000201067	1000	2024	1500000018	001	20240917	20240917	20240917	KZ	25	S		EUR	9.089,83	9.089,83		1900000180	Zahlung	20240917		0	0,000	0,00	0,00	U					20240917	1500000018
100	0000201281	1000	2024	1500000019	001	20240917	20240917	20240917	KZ	25	S		EUR	31.040,99	31.040,99		1900000212	Zahlung	20240917		0	0,000	0,00	0,00	U					20240917	1500000019
100	0000201473	1000	2024	1500000020	001	20240917	20240917	20240917	KZ	25	S		EUR	97.825,31	97.825,31		1900000075	Zahlung	20240917		0	0,000	0,00	0,00	U					20240917	1500000020
100	0000200634	1000	2024	1500000021	001	20240918	20240918	20240918	KZ	25	S		EUR	108.443,53	108.443,53		1900000043	Zahlung	20240918		0	0,000	0,00	0,00	U					20240918	1500000021
100	0000200280	1000	2024	1500000022	001	20240919	20240919	20240919	KZ	25	S		EUR	20.601,74	20.601,74		1900000129	Zahlung	20240919		0	0,000	0,00	0,00	U					20240919	1500000022
100	0000200636	1000	2024	1500000023	001	20240919	20240919	20240919	KZ	25	S		EUR	650,68	650,68		1900000190	Zahlung	20240919		0	0,000	0,00	0,00	U					20240919	1500000023
100	0000201595	1000	2024	1500000024	001	20240919	20240919	20240919	KZ	25	S		EUR	1.820,45	1.820,45		1900000196	Zahlung	20240919		0	0,000	0,00	0,00	U					20240919	1500000024
100	0000200133	1000	2024	1500000025	001	20240923	20240923	20240923	KZ	25	S		EUR	7.767,66	7.767,66		1900000083	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000025
100	0000200235	1000	2024	1500000026	001	20240923	20240923	20240923	KZ	25	S		EUR	6.945,97	6.945,97		1900000096	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000026
100	0000201136	1000	2024	1500000027	001	20240923	20240923	20240923	KZ	25	S		EUR	71.848,30	71.848,30		1900000161	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000027
100	0000201221	1000	2024	1500000028	001	20240923	20240923	20240923	KZ	25	S		EUR	14.134,94	14.134,94		1900000164	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000028
100	0000201237	1000	2024	1500000029	001	20240923	20240923	20240923	KZ	25	S		EUR	676,51	676,51		1900000025	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000029
100	0000201697	1000	2024	1500000030	001	20240923	20240923	20240923	KZ	25	S		EUR	1.130,57	1.130,57		1900000251	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000030
100	0000201957	1000	2024	1500000031	001	20240923	20240923	20240923	KZ	25	S		EUR	15.533,96	15.533,96		1900000111	Zahlung	20240923		0	0,000	0,00	0,00	U					20240923	1500000031
100	0000200431	1000	2024	1500000032	001	20240924	20240924	20240924	KZ	25	S		EUR	615,36	615,36		1900000279	Zahlung	20240924		0	0,000	0,00	0,00	U					20240924	1500000032
100	0000200878	1000	2024	1500000033	001	20240924	20240924	20240924	KZ	25	S		EUR	1.612,18	1.612,18		1900000159	Zahlung	20240924		0	0,000	0,00	0,00	U					20240924	1500000033
100	0000201272	1000	2024	1500000034	001	20240924	20240924	20240924	KZ	25	S		EUR	73.174,04	73.174,04		1900000136	Zahlung	20240924		0	0,000	0,00	0,00	U					20240924	1500000034
100	0000201674	1000	2024	1500000035	001	20240925	20240925	20240925	KZ	25	S		EUR	6.023,67	6.023,67		1900000170	Zahlung	20240925		0	0,000	0,00	0,00	U					20240925	1500000035
100	0000201783	1000	2024	1500000036	001	20240925	20240925	20240925	KZ	25	S		EUR	69.159,07	69.159,07		1900000137	Zahlung	20240925		0	0,000	0,00	0,00	U					20240925	1500000036
100	0000200246	1000	2024	1500000037	001	20240926	20240926	20240926	KZ	25	S		EUR	2.281,44	2.281,44		1900000146	Zahlung	20240926		0	0,000	0,00	0,00	U					20240926	1500000037
100	0000200768	1000	2024	1500000038	001	20240926	20240926	20240926	KZ	25	S		EUR	109.867,03	109.867,03		1900000154	Zahlung	20240926		0	0,000	0,00	0,00	U					20240926	1500000038
100	0000200317	1000	2024	1500000040	001	20240927	20240927	20240927	KZ	25	S		EUR	20.397,99	20.397,99		1900000176	Zahlung	20240927		0	0,000	0,00	0,00	U					20240927	1500000040
100	0000200589	1000	2024	1500000041	001	20240927	20240927	20240927	KZ	25	S		EUR	14.848,88	14.848,88		1900000240	Zahlung	20240927		0	0,000	0,00	0,00	S					20240927	1500000041
100	0000200636	1000	2024	1500000042	001	20240927	20240927	20240927	KZ	25	S		EUR	2.911,77	2.911,77		1900000315	Zahlung	20240927		0	0,000	0,00	0,00	U					20240927	1500000042
100	0000201465	1000	2024	1500000043	001	20240927	20240927	20240927	KZ	25	S		EUR	1.844,96	1.844,96		1900000032	Zahlung	20240927		0	0,000	0,00	0,00	U					20240927	1500000043
100	0000201627	1000	2024	1500000044	001	20240927	20240927	20240927	KZ	25	S		EUR	4.233,95	4.233,95		1900000198	Zahlung	20240927		0	0,000	0,00	0,00	U					20240927	1500000044
100	0000201659	1000	2024	1500000045	001	20240927	20240927	20240927	KZ	25	S		EUR	20.831,79	20.831,79		1900000006	Zahlung	20240927		0	0,000	0,00	0,00	U					20240927	1500000045
100	0000200348	1000	2024	1500000046	001	20240930	20240930	20240930	KZ	25	S		EUR	1.517,45	1.517,45		1900000039	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000046
100	0000200713	1000	2024	1500000047	001	20240930	20240930	20240930	KZ	25	S		EUR	865,14	865,14		1900000119	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000047
100	0000200749	1000	2024	1500000048	001	20240930	20240930	20240930	KZ	25	S		EUR	102.081,89	102.081,89		1900000223	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000048
100	0000200876	1000	2024	1500000049	001	20240930	20240930	20240930	KZ	25	S		EUR	747,40	747,40		1900000044	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000049
100	0000201146	1000	2024	1500000050	001	20240930	20240930	20240930	KZ	25	S		EUR	16.585,73	16.585,73		1900000182	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000050
100	0000201254	1000	2024	1500000051	001	20240930	20240930	20240930	KZ	25	S		EUR	110.801,75	110.801,75		1900000322	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000051
100	0000201302	1000	2024	1500000052	001	20240930	20240930	20240930	KZ	25	S		EUR	2.312,48	2.312,48		1900000229	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000052
100	0000201319	1000	2024	1500000053	001	20240930	20240930	20240930	KZ	25	S		EUR	1.305,69	1.305,69		1900000245	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000053
100	0000201327	1000	2024	1500000054	001	20240930	20240930	20240930	KZ	25	S		EUR	77.277,91	77.277,91		1900000165	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000054
100	0000201447	1000	2024	1500000055	001	20240930	20240930	20240930	KZ	25	S		EUR	5.054,44	5.054,44		1900000167	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000055
100	0000201503	1000	2024	1500000056	001	20240930	20240930	20240930	KZ	25	S		EUR	11.582,10	11.582,10		1900000247	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000056
100	0000201509	1000	2024	1500000057	001	20240930	20240930	20240930	KZ	25	S		EUR	94.738,00	94.738,00		1900000248	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000057
100	0000201666	1000	2024	1500000058	001	20240930	20240930	20240930	KZ	25	S		EUR	5.926,70	5.926,70		1900000199	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000058
100	0000201672	1000	2024	1500000059	001	20240930	20240930	20240930	KZ	25	S		EUR	90.655,22	90.655,22		1900000271	Zahlung	20240930		0	0,000	0,00	0,00	U					20240930	1500000059
100	0000200588	1000	2024	1500000060	001	20241001	20241001	20241001	KZ	25	S		EUR	2.831,11	2.831,11		1900000298	Zahlung	20241001		0	0,000	0,00	0,00	U					20241001	1500000060
100	0000200930	1000	2024	1500000062	001	20241002	20241002	20241002	KZ	25	S		EUR	9.740,52	9.740,52		1900000224	Zahlung	20241002		0	0,000	0,00	0,00	U					20241002	1500000062
100	0000201017	1000	2024	1500000063	001	20241002	20241002	20241002	KZ	25	S		EUR	1.203,27	1.203,27		1900000225	Zahlung	20241002		0	0,000	0,00	0,00	U					20241002	1500000063
100	0000201083	1000	2024	1500000064	001	20241002	20241002	20241002	KZ	25	S		EUR	29.462,90	29.462,90		1900000286	Zahlung	20241002		0	0,000	0,00	0,00	U					20241002	1500000064
100	0000201441	1000	2024	1500000065	001	20241002	20241002	20241002	KZ	25	S		EUR	5.764,20	5.764,20		1900000246	Zahlung	20241002		0	0,000	0,00	0,00	U					20241002	1500000065
100	0000201774	1000	2024	1500000066	001	20241002	20241002	20241002	KZ	25	S		EUR	7.276,25	7.276,25		1900000233	Zahlung	20241002		0	0,000	0,00	0,00	U					20241002	1500000066
100	0000200840	1000	2024	1500000067	001	20241003	20241003	20241003	KZ	25	S		EUR	2.478,16	2.478,16		1900000013	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000067
100	0000201083	1000	2024	1500000068	001	20241003	20241003	20241003	KZ	25	S		EUR	26.575,25	26.575,25		1900000287	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000068
100	0000201204	1000	2024	1500000069	001	20241003	20241003	20241003	KZ	25	S		EUR	63.644,52	63.644,52		1900000408	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000069
100	0000201383	1000	2024	1500000071	001	20241003	20241003	20241003	KZ	25	S		EUR	20.684,73	20.684,73		1900000257	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000071
100	0000201407	1000	2024	1500000072	001	20241003	20241003	20241003	KZ	25	S		EUR	2.717,67	2.717,67		1900000002	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000072
100	0000201429	1000	2024	1500000073	001	20241003	20241003	20241003	KZ	25	S		EUR	1.391,03	1.391,03		1900000030	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000073
100	0000201522	1000	2024	1500000074	001	20241003	20241003	20241003	KZ	25	S		EUR	2.789,63	2.789,63		1900000106	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000074
100	0000201889	1000	2024	1500000075	001	20241003	20241003	20241003	KZ	25	S		EUR	942,62	942,62		1900000253	Zahlung	20241003		0	0,000	0,00	0,00	U					20241003	1500000075
100	0000200823	1000	2024	1500000076	001	20241004	20241004	20241004	KZ	25	S		EUR	1.719,93	1.719,93		1900000001	Zahlung	20241004		0	0,000	0,00	0,00	U					20241004	1500000076
100	0000201449	1000	2024	1500000077	001	20241004	20241004	20241004	KZ	25	S		EUR	1.716,81	1.716,81		1900000291	Zahlung	20241004		0	0,000	0,00	0,00	U					20241004	1500000077
