MANDT	KUNNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	HKONT	AUGDT	AUGBL
100	0000102828	1000	2024	1600000001	001	20240916	20240916	20240916	DG	11	H		EUR	1.092,32	1.092,32	GS-RG-122417	1800000014	Gutschrift	20240916	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000102776	1000	2024	1600000002	001	20240916	20240916	20240916	DG	11	H		EUR	12.783,08	12.783,08	GS-RG-122000	1800000058	Gutschrift	20240916	ZB03	0	0,000	0,00	0,00					00000000	
100	0000102889	1000	2024	1600000003	001	20240923	20240923	20240923	DG	11	H		EUR	1.904,34	1.904,34	GS-RG-122902	1800000061	Gutschrift	20240923	ZB02	0	0,000	0,00	0,00	E				00000000	
100	0000101804	1000	2024	1600000004	001	20241015	20241015	20241015	DG	11	H		EUR	316,10	316,10	GS-RG-114320	1800000080	Gutschrift	20241015	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000102333	1000	2024	1600000005	001	20241021	20241021	20241021	DG	11	H		EUR	1.000,63	1.000,63	GS-RG-118594	1800000263	Gutschrift	20241021	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000100508	1000	2024	1600000006	001	20241022	20241022	20241022	DG	11	H		EUR	1.436,37	1.436,37	GS-RG-103667	1800000275	Gutschrift	20241022	ZB01	0	0,000	0,00	0,00	E				00000000	
100	0000101685	1000	2024	1600000007	001	20240930	20240930	20240930	DG	11	H		EUR	1.498,02	1.498,02	GS-RG-113288	1800000293	Gutschrift	20240930	ZB02	0	0,000	0,00	0,00	E				00000000	
100	0000101562	1000	2024	1600000008	001	20241014	20241014	20241014	DG	11	H		EUR	5.239,44	5.239,44	GS-RG-112272	1800000338	Gutschrift	20241014	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000101624	1000	2024	1600000009	001	20241018	20241018	20241018	DG	11	H		EUR	216,86	216,86	GS-RG-112806	1800000340	Gutschrift	20241018	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000101688	1000	2024	1600000010	001	20240930	20240930	20240930	DG	11	H		EUR	334,83	334,83	GS-RG-113350	1800000342	Gutschrift	20240930	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000102297	1000	2024	1600000011	001	20240920	20240920	20240920	DG	11	H		EUR	1.480,39	1.480,39	GS-RG-118352	1800000352	Gutschrift	20240920	ZB03	0	0,000	0,00	0,00	E				00000000	
