MANDT	LIFNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	EBELN	HKONT	AUGDT	AUGBL
100	0000201659	1000	2024	1700000001	001	20241011	20241011	20241011	KG	21	S		EUR	3.333,09	3.333,09	GS-RE-109659	1900000006	Gutschrift	20241011	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200238	1000	2024	1700000002	001	20241008	20241008	20241008	KG	21	S		EUR	240,54	240,54	GS-RE-101406	1900000097	Gutschrift	20241008	ZB02	0	0,000	0,00	0,00	U					00000000	
100	0000201957	1000	2024	1700000003	001	20241007	20241007	20241007	KG	21	S		EUR	2.219,14	2.219,14	GS-RE-111529	1900000111	Gutschrift	20241007	ZB02	0	0,000	0,00	0,00	U					00000000	
100	0000201794	1000	2024	1700000004	001	20241003	20241003	20241003	KG	21	S		EUR	2.304,96	2.304,96	GS-RE-110567	1900000126	Gutschrift	20241003	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200446	1000	2024	1700000005	001	20240930	20240930	20240930	KG	21	S		EUR	4.585,76	4.585,76	GS-RE-102612	1900000148	Gutschrift	20240930	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200431	1000	2024	1700000006	001	20241107	20241107	20241107	KG	21	S		EUR	55,38	55,38	GS-RE-102490	1900000279	Gutschrift	20241107	ZB00	0	0,000	0,00	0,00	U					00000000	
100	0000200285	1000	2024	1700000007	001	20241029	20241029	20241029	KG	21	S		EUR	253,76	253,76	GS-RE-101700	1900000337	Gutschrift	20241029	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200031	1000	2024	1700000008	001	20241107	20241107	20241107	KG	21	S		EUR	429,07	429,07	GS-RE-100257	1900000371	Gutschrift	20241107	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200862	1000	2024	1700000009	001	20241007	20241007	20241007	KG	21	S		EUR	2.849,23	2.849,23	GS-RE-105059	1900000375	Gutschrift	20241007	ZB01	0	0,000	0,00	0,00	U					00000000	
100	0000201789	1000	2024	1700000010	001	20241028	20241028	20241028	KG	21	S		EUR	605,98	605,98	GS-RE-110547	1900000384	Gutschrift	20241028	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200634	1000	2024	1700000011	001	20241024	20241024	20241024	KG	21	S		EUR	969,78	969,78	GS-RE-103673	1900000400	Gutschrift	20241024	ZB02	0	0,000	0,00	0,00	U					00000000	
100	0000200649	1000	2024	1700000012	001	20241021	20241021	20241021	KG	21	S		EUR	8.236,28	8.236,28	GS-RE-103766	1900000469	Gutschrift	20241021	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200382	1000	2024	1700000013	001	20241024	20241024	20241024	KG	21	S		EUR	3.194,54	3.194,54	GS-RE-102194	1900000504	Gutschrift	20241024	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200097	1000	2024	1700000014	001	20241108	20241108	20241108	KG	21	S		EUR	347,99	347,99	GS-RE-100595	1900000586	Gutschrift	20241108	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200499	1000	2024	1700000015	001	20241111	20241111	20241111	KG	21	S		EUR	880,36	880,36	GS-RE-102917	1900000624	Gutschrift	20241111	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200400	1000	2024	1700000016	001	20241202	20241202	20241202	KG	21	S		EUR	339,62	339,62	GS-RE-102320	1900000649	Gutschrift	20241202	ZB02	0	0,000	0,00	0,00	U					00000000	
100	0000200732	1000	2024	1700000017	001	20241111	20241111	20241111	KG	21	S		EUR	10.198,08	10.198,08	GS-RE-104197	1900000650	Gutschrift	20241111	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201148	1000	2024	1700000018	001	20241115	20241115	20241115	KG	21	S		EUR	237,32	237,32	GS-RE-106592	1900000751	Gutschrift	20241115	ZB01	0	0,000	0,00	0,00	U					00000000	
100	0000201537	1000	2024	1700000019	001	20241202	20241202	20241202	KG	21	S		EUR	24,00	24,00	GS-RE-108925	1900000764	Gutschrift	20241202	ZB01	0	0,000	0,00	0,00	U					00000000	
100	0000201968	1000	2024	1700000020	001	20241216	20241216	20241216	KG	21	S		EUR	338,34	338,34	GS-RE-111589	1900000786	Gutschrift	20241216	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000201297	1000	2024	1700000021	001	20241209	20241209	20241209	KG	21	S		EUR	346,01	346,01	GS-RE-107510	1900000805	Gutschrift	20241209	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200307	1000	2024	1700000022	001	20241217	20241217	20241217	KG	21	S		EUR	621,20	621,20	GS-RE-101803	1900000837	Gutschrift	20241217	ZB01	0	0,000	0,00	0,00	U					00000000	
100	0000200412	1000	2024	1700000023	001	20241231	20241231	20241231	KG	21	S		EUR	76,23	76,23	GS-RE-102370	1900000914	Gutschrift	20241231	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200092	1000	2024	1700000024	001	20241129	20241129	20241129	KG	21	S		EUR	5.727,59	5.727,59	GS-RE-100567	1900000956	Gutschrift	20241129	ZB02	0	0,000	0,00	0,00	U					00000000	
100	0000200853	1000	2024	1700000025	001	20241213	20241213	20241213	KG	21	S		EUR	4.918,97	4.918,97	GS-RE-104986	1900000996	Gutschrift	20241213	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201257	1000	2024	1700000026	001	20241213	20241213	20241213	KG	21	S		EUR	3.785,92	3.785,92	GS-RE-107242	1900001004	Gutschrift	20241213	ZB00	0	0,000	0,00	0,00	U					00000000	
100	0000201501	1000	2024	1700000027	001	20241220	20241220	20241220	KG	21	S		EUR	5.574,40	5.574,40	GS-RE-108699	1900001008	Gutschrift	20241220	ZB04	0	0,000	0,00	0,00	S					00000000	
100	0000200441	1000	2024	1700000028	001	20241230	20241230	20241230	KG	21	S		EUR	160,16	160,16	GS-RE-102568	1900001081	Gutschrift	20241230	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201503	1000	2024	1900000003	001	20240902	20240902	20240902	KR	31	H		EUR	2.417,15	2.417,15	RE-108735	20240902	Rechnung	20240902	ZB02	14	2,000	2.417,15	0,00	U					00000000	
100	0000201563	1000	2024	1900000004	001	20240902	20240902	20240902	KR	31	H		EUR	16.645,45	16.645,45	RE-109099	20240902	Rechnung	20240902	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200885	1000	2024	1900000008	001	20240903	20240902	20240903	KR	31	H		EUR	2.125,61	2.125,61	RE-105140	20240902	Rechnung	20240902	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000201063	1000	2024	1900000009	001	20240903	20240903	20240903	KR	31	H		EUR	75.770,97	75.770,97	RE-106127	20240903	Rechnung	20240903	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201684	1000	2024	1900000016	001	20240904	20240902	20240904	KR	31	H		EUR	87.458,16	87.458,16	RE-109858	20240902	Rechnung	20240902	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201989	1000	2024	1900000018	001	20240904	20240902	20240904	KR	31	H		EUR	1.723,30	1.723,30	RE-111703	20240902	Rechnung	20240902	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200153	1000	2024	1900000020	001	20240905	20240904	20240905	KR	31	H		EUR	10.497,15	10.497,15	RE-100939	20240904	Rechnung	20240904	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200322	1000	2024	1900000021	001	20240905	20240905	20240905	KR	31	H		EUR	1.763,47	1.763,47	RE-101924	20240905	Rechnung	20240905	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000200579	1000	2024	1900000023	001	20240905	20240902	20240905	KR	31	H		EUR	19.471,31	19.471,31	RE-103348	20240902	Rechnung	20240902	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000201328	1000	2024	1900000026	001	20240905	20240902	20240905	KR	31	H		EUR	17.748,39	17.748,39	RE-107717	20240902	Rechnung	20240902	ZB01	10	3,000	17.748,39	0,00	S					00000000	
100	0000201375	1000	2024	1900000029	001	20240905	20240902	20240905	KR	31	H		EUR	1.558,86	1.558,86	RE-108023	20240902	Rechnung	20240902	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201527	1000	2024	1900000035	001	20240905	20240904	20240905	KR	31	H		EUR	2.832,86	2.832,86	RE-108864	20240904	Rechnung	20240904	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200144	1000	2024	1900000037	001	20240906	20240906	20240906	KR	31	H		EUR	2.471,94	2.471,94	RE-100870	20240906	Rechnung	20240906	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200567	1000	2024	1900000042	001	20240906	20240906	20240906	KR	31	H		EUR	8.989,56	8.989,56	RE-103276	20240906	Rechnung	20240906	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200979	1000	2024	1900000045	001	20240906	20240906	20240906	KR	31	H		EUR	924,28	924,28	RE-105610	20240906	Rechnung	20240906	ZB00	0	0,000	0,00	0,00	U					00000000	
100	0000201975	1000	2024	1900000048	001	20240906	20240906	20240906	KR	31	H		EUR	5.780,72	5.780,72	RE-111635	20240906	Rechnung	20240906	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200496	1000	2024	1900000058	001	20240909	20240909	20240909	KR	31	H		EUR	209,55	209,55	RE-102897	20240909	Rechnung	20240909	ZB02	14	2,000	209,55	0,00	U					00000000	
100	0000200787	1000	2024	1900000062	001	20240909	20240905	20240909	KR	31	H		EUR	20.928,56	20.928,56	RE-104565	20240905	Rechnung	20240905	ZB02	14	2,000	20.928,56	0,00	U					00000000	
100	0000201235	1000	2024	1900000068	001	20240909	20240909	20240909	KR	31	H		EUR	2.159,29	2.159,29	RE-107093	20240909	Rechnung	20240909	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201956	1000	2024	1900000081	001	20240909	20240909	20240909	KR	31	H		EUR	23.009,97	23.009,97	RE-111521	20240909	Rechnung	20240909	ZB02	14	2,000	23.009,97	0,00	U					00000000	
100	0000200133	1000	2024	1900000082	001	20240910	20240909	20240910	KR	31	H		EUR	44.791,11	44.791,11	RE-100793	20240909	Rechnung	20240909	ZB02	14	2,000	44.791,11	0,00	U					00000000	
100	0000200422	1000	2024	1900000085	001	20240910	20240910	20240910	KR	31	H		EUR	2.990,22	2.990,22	RE-102451	20240910	Rechnung	20240910	ZB02	14	2,000	2.990,22	0,00	U					00000000	
100	0000200509	1000	2024	1900000086	001	20240910	20240909	20240910	KR	31	H		EUR	5.771,29	5.771,29	RE-102964	20240909	Rechnung	20240909	ZB02	14	2,000	5.771,29	0,00	U					00000000	
100	0000201064	1000	2024	1900000089	001	20240910	20240909	20240910	KR	31	H		EUR	893,48	893,48	RE-106146	20240909	Rechnung	20240909	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201573	1000	2024	1900000091	001	20240910	20240910	20240910	KR	31	H		EUR	112.044,57	112.044,57	RE-109179	20240910	Rechnung	20240910	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000201646	1000	2024	1900000092	001	20240910	20240909	20240910	KR	31	H		EUR	5.880,45	5.880,45	RE-109597	20240909	Rechnung	20240909	ZB03	0	0,000	0,00	0,00	U					00000000	
100	0000200053	1000	2024	1900000094	001	20240911	20240910	20240911	KR	31	H		EUR	8.151,06	8.151,06	RE-100335	20240910	Rechnung	20240910	ZB03	0	0,000	0,00	0,00	U					00000000	
