MANDT	KUNNR	LAND1	NAME1	NAME2	NAME3	NAME4	SORTL	ORT01	PSTLZ	REGIO	STRAS	PFACH	PSTL2	ADRNR	KTOKD	XCPDK	LOEVM	SPERR	KNRZA	KONZS	SPRAS	ERDAT	ERNAM	TELF1	STCD1	STCD2	STCEG
100	0000100000	DE	Hochmark Fördertechnik GmbH & Co. KG				HOCHMARK	Stuttgart	70173	BW	Mühlendamm 96			0500000000	DEBI		X				D	20191229	SAPUSER3	0753 571043	314/401/32279		DE974601963
100	0000100001	DE	Eichau Zerspanung e.K.				EICHAU	Worms	67547	RP	Fasanenring 34			0500000001	DEBI		X				D	20240613	SAPUSER4	0710 3541040	584/684/60817		DE801768655
100	0000100002	DE	Westfurt Lebensmittel eG				WESTFURT	Kerpen	50171	NW	Quellendamm 173			0500000002	DEBI						D	20190717	SAPUSER4	0781 7029846	665/938/30378		DE645758332
100	0000100003	IT	Zederheim Werkzeugbau S.r.l.				ZEDERHEIM	Bologna	40121		Feldgasse 57			0500000003	DEBI						I	20190322	SAPUSER1	0845 9303853			IT67012485506
100	0000100007	DE	Fichtenmark Bauelemente GmbH & Co. KG				FICHTENMAR	Elmshorn	25335	SH	Pappeldamm 139			0500000004	DEBI						D	20200603	SAPUSER4	0980 2626260	625/870/66837		DE741622327
100	0000100010	DE	Oststein Anlagenbau GmbH & Co. KG				OSTSTEIN	Ansbach	91522	BY	Kirschring 9			0500000005	KUNA	X					D	20211229	SAPUSER1	0489 9298583	442/266/53078		DE794284605
100	0000100013	DE	Bernwald Logistik GmbH & Co. KG				BERNWALD	Bremerhaven	27568	HB	Pappelplatz 74			0500000006	DEBI						D	20200122	SAPUSER3	0343 6785184	486/220/60133		DE525865793
100	0000100014	DE	Espenbrück Maschinenbau UG (haftungsbeschränkt)				ESPENBRÜCK	Itzehoe	25524	SH	Hafenstraße 176b			0500000007	DEBI						D	20190616	SAPUSER4	0806 728909	201/885/17841		ATU26447331
100	0000100017	DE	Espenbrueck Maschinenbau UG (haftungsbeschraenkt)				ESPENBRÜCK	Itzehoe	25524	SH	Hafenstrasse 176b			0500000008	DEBI						D	20191002	SAPUSER2	0951 6252100	384/170/19113		DE508785914
100	0000100018	FR	Grünweg Handel S.A.				GRÜNWEG	Bordeaux	33000		Hafenallee 195b			0500000009	DEBI						F	20240407	SAPUSER5	0297 1823047			FR64384632128
