MANDT	KUNNR	BUKRS	AKONT	ZTERM	MAHNA	SPERR	LOEVM	ZWELS	ZAHLS	KNRZB	TOGRU	ZUAWA	ERDAT	ERNAM
100	0000100000	1000	0000140000	ZB00	0001			E				001	20191229	SAPUSER3
100	0000100001	1000	0000140000	ZB03	0001			E				001	20240613	SAPUSER4
100	0000100002	1000	0000140000	ZB04	0001			E				001	20190717	SAPUSER4
100	0000100003	2000	0000140000	ZB00	0001			E				001	20190322	SAPUSER1
100	0000100007	1000	0000140000	ZB02	0001			E				001	20200603	SAPUSER4
100	0000100010	1000	0000140000	ZB03	0001			E				001	20211229	SAPUSER1
100	0000100013	1000	0000140000	ZB02	0001							001	20200122	SAPUSER3
100	0000100014	1000	0000140000	ZB04	0001			E				001	20190616	SAPUSER4
100	0000100017	1000	0000140000	ZB04	0001			E				001	20191002	SAPUSER2
100	0000100018	1000	0000140000	ZB03	0001			E				001	20240407	SAPUSER5
100	0000100021	1000	0000140000	ZB03	0001			E				001	20210326	SAPUSER1
100	0000100021	2000	0000140000	ZB04	0001			E				001	20210326	SAPUSER1
100	0000100022	1000	0000140000	ZB03	0001			E				001	20220128	SAPUSER3
100	0000100024	1000	0000140000	ZB03	0001			E				001	20201217	SAPUSER1
100	0000100028	1000	0000140000	ZB03	0001			E				001	20221203	SAPUSER1
100	0000100028	2000	0000140000	ZB03	0001			E				001	20221203	SAPUSER1
100	0000100030	1000	0000140000	ZB03	0001			E				001	20240728	SAPUSER2
100	0000100032	1000	0000140000	ZB03	0001			E				001	20191027	SAPUSER4
100	0000100034	1000	0000140000	ZB03	0001			E				001	20201025	SAPUSER5
100	0000100038	1000	0000140000	ZB04	0001			E				001	20200913	SAPUSER5
100	0000100040	1000	0000140000	ZB03	0001							001	20240721	SAPUSER4
100	0000100041	1000	0000140000	ZB03	0001			E				001	20201205	SAPUSER3
100	0000100043	2000	0000140000	ZB03	0001			E				001	20221220	SAPUSER4
100	0000100044	1000	0000140000	ZB03	0001			E				001	20220704	SAPUSER3
100	0000100044	2000	0000140000	ZB01	0001			E				001	20220704	SAPUSER3
100	0000100046	1000	0000140000	ZB03	0001			E				001	20211130	SAPUSER2
100	0000100049	1000	0000140000	ZB03	0001			E				001	20190821	SAPUSER5
100	0000100050	1000	0000140000	ZB02	0001			E				001	20210816	SAPUSER4
100	0000100050	2000	0000140000	ZB03	0001			E				001	20210816	SAPUSER4
100	0000100052	1000	0000140000	ZB01	0001			E				001	20220325	SAPUSER2
100	0000100053	1000	0000140000	ZB03	0001			E				001	20211115	SAPUSER2
100	0000100054	1000	0000140000	ZB03	0001			E				001	20230314	SAPUSER1
100	0000100056	1000	0000140000	ZB03	0001			E				001	20230614	SAPUSER1
100	0000100058	1000	0000140000	ZB02	0001			E				001	20220615	SAPUSER5
100	0000100060	1000	0000140000	ZB01	0001			E				001	20210106	SAPUSER4
100	0000100062	1000	0000140000	ZB03	0001			E				001	20210922	SAPUSER3
100	0000100063	1000	0000140000	ZB04	0001			E				001	20210613	SAPUSER2
100	0000100064	1000	0000140000	ZB03	0001							001	20210914	SAPUSER5
100	0000100068	2000	0000140000	ZB04	0001			E				001	20220224	SAPUSER5
100	0000100069	1000	0000140000	ZB02	0001			E				001	20220624	SAPUSER3
100	0000100071	1000	0000140000	ZB00	0001			E				001	20210819	SAPUSER4
100	0000100072	1000	0000140000	ZB03	0001			E				001	20240204	SAPUSER1
100	0000100073	1000	0000140000	ZB02	0001			E				001	20230608	SAPUSER2
100	0000100074	1000	0000140000	ZB02	0001			E				001	20211107	SAPUSER2
100	0000100076	2000	0000140000	ZB03	0001			E				001	20231014	SAPUSER5
100	0000100078	1000	0000140000	ZB02	0001			E				001	20220515	SAPUSER3
100	0000100079	1000	0000140000	ZB02	0001			E				001	20240531	SAPUSER3
100	0000100079	2000	0000140000	ZB01	0001			E				001	20240531	SAPUSER3
100	0000100083	1000	0000140000	ZB02	0001			E				001	20190316	SAPUSER2
100	0000100084	1000	0000140000	ZB02	0001			E				001	20191210	SAPUSER3
100	0000100085	1000	0000140000	ZB03	0001			E				001	20220731	SAPUSER5
100	0000100086	1000	0000140000	ZB03	0001			E				001	20191018	SAPUSER4
100	0000100087	1000	0000140000	ZB03	0001							001	20221116	SAPUSER3
100	0000100088	1000	0000140000	ZB04	0001			E				001	20230414	SAPUSER1
100	0000100089	1000	0000140000	ZB02	0001			E				001	20211208	SAPUSER1
100	0000100090	1000	0000140000	ZB04	0001			E				001	20231006	SAPUSER3
100	0000100090	2000	0000140000	ZB03	0001			E				001	20231006	SAPUSER3
100	0000100091	1000	0000140000	ZB02	0001			E				001	20200604	SAPUSER4
100	0000100094	1000	0000140000	ZB00	0001			E				001	20201217	SAPUSER5
100	0000100095	1000	0000140000	ZB02	0001			E				001	20220526	SAPUSER4
100	0000100099	1000	0000140000	ZB00	0001			E				001	20200107	SAPUSER4
100	0000100100	1000	0000140000	ZB03	0001			E				001	20190306	SAPUSER3
100	0000100103	2000	0000140000	ZB04	0001			E				001	20190130	SAPUSER5
100	0000100106	1000	0000140000	ZB01	0001							001	20190904	SAPUSER3
100	0000100108	1000	0000140000	ZB03	0001			E				001	20230914	SAPUSER4
100	0000100109	1000	0000140000	ZB03	0001							001	20200520	SAPUSER3
100	0000100110	1000	0000140000	ZB03	0001							001	20210719	SAPUSER3
100	0000100111	1000	0000140000	ZB03	0001			E				001	20240712	SAPUSER4
100	0000100112	1000	0000140000	ZB00	0001			E				001	20190617	SAPUSER4
100	0000100116	1000	0000140000	ZB03	0001			E				001	20190405	SAPUSER2
100	0000100117	1000	0000140000	ZB02	0001			E				001	20191124	SAPUSER2
100	0000100118	1000	0000140000	ZB03	0001			E				001	20200601	SAPUSER3
