MANDT	KUNNR	BUKRS	MABER	MAHNS	MADAT	MANSP	KNRMA
100	0000100000	1000		3	20250925		
100	0000100002	1000		3	20250213		
100	0000100003	2000		3	20241222		
100	0000100007	1000		3	20250615		
100	0000100010	1000		3	20251012		
100	0000100013	1000		3	20250312		
100	0000100014	1000		3	20250130		
100	0000100017	1000		3	20241222		
100	0000100018	1000		3	20250105		
100	0000100021	1000		3	20251007		
100	0000100022	1000		3	20241222		
100	0000100024	1000		3	20250603		
100	0000100028	1000		3	20250528		
100	0000100028	2000		3	20251020		
100	0000100030	1000		3	20250112		
100	0000100032	1000		3	20250427		
100	0000100034	1000		3	20250828		
100	0000100038	1000		3	20250223		
100	0000100040	1000		3	20260208		
100	0000100041	1000		3	20250223		
100	0000100043	2000		3	20241212		
100	0000100046	1000		3	20251007		
100	0000100049	1000		3	20260125		
100	0000100050	1000		2	20260731		
100	0000100050	2000		1	20260821		
100	0000100052	1000		3	20250126		
100	0000100053	1000		3	20251104		
100	0000100054	1000		3	20250514		
100	0000100056	1000		3	20250105		
100	0000100058	1000		3	20251117		
100	0000100060	1000		3	20250306		
100	0000100062	1000		3	20250731		
100	0000100063	1000		3	20241210		
100	0000100064	1000		3	20250108		
100	0000100068	2000		3	20250429		
100	0000100069	1000		3	20250817		
100	0000100071	1000		1	20260827		
100	0000100072	1000		3	20241203		
100	0000100073	1000		3	20241226		
100	0000100076	2000		3	20251028		
100	0000100078	1000		3	20250514		
100	0000100079	1000		3	20260401		
100	0000100079	2000		3	20250316		
100	0000100083	1000		3	20250817		
100	0000100084	1000		3	20250216		
100	0000100085	1000		3	20251223		
100	0000100086	1000		3	20251006		
100	0000100087	1000		3	20251001		
100	0000100088	1000		3	20241211		
100	0000100089	1000		3	20250619		
100	0000100090	2000		3	20251002		
100	0000100091	1000		3	20250326		
100	0000100094	1000		3	20250112		
100	0000100095	1000		3	20250323		
100	0000100099	1000		3	20250810		
100	0000100100	1000		3	20260310		
100	0000100103	2000		3	20250223		
100	0000100106	1000		3	20250310		
100	0000100108	1000		3	20250807		
100	0000100109	1000		3	20250408		
100	0000100110	1000		3	20250317		
100	0000100111	1000		3	20250330		
100	0000100112	1000		3	20260628		
100	0000100116	1000		3	20250113		
100	0000100117	1000		3	20250309		
100	0000100118	1000		3	20260803		
100	0000100120	1000		3	20250728		
100	0000100121	1000		3	20250302		
100	0000100122	1000		3	20250306		
100	0000100122	2000		3	20260428		
100	0000100123	2000		3	20250204		
100	0000100124	1000		3	20260804		
100	0000100124	2000		3	20250211		
100	0000100125	1000		3	20250608		
100	0000100126	1000		3	20250804		
100	0000100128	1000		3	20250610		
100	0000100129	1000		3	20260607		
100	0000100130	1000		3	20250106		
100	0000100131	1000		3	20250807		
100	0000100133	2000		3	20251020		
100	0000100135	1000		3	20241201		
100	0000100138	1000		3	20260714		
100	0000100140	1000		3	20250326		
100	0000100142	1000		3	20250105		
100	0000100144	1000		3	20241209		
