MANDT	KUNNR	VKORG	VTWEG	SPART	PARVW	KUNN2	PARZA
100	0000100000	1000	10	00	AG	0000100000	000
100	0000100001	1000	10	00	AG	0000100001	000
100	0000100002	1000	10	00	AG	0000100002	000
100	0000100003	2000	10	00	AG	0000100003	000
100	0000100007	1000	10	00	AG	0000100007	000
100	0000100010	1000	10	00	AG	0000100010	000
100	0000100013	1000	10	00	AG	0000100013	000
100	0000100014	1000	10	00	AG	0000100014	000
100	0000100017	1000	10	00	AG	0000100017	000
100	0000100018	1000	10	00	AG	0000100018	000
100	0000100021	1000	10	00	AG	0000100021	000
100	0000100021	2000	10	00	AG	0000100021	000
100	0000100022	1000	10	00	AG	0000100022	000
100	0000100024	1000	10	00	AG	0000100024	000
100	0000100028	1000	10	00	AG	0000100028	000
100	0000100028	2000	10	00	AG	0000100028	000
100	0000100030	1000	10	00	AG	0000100030	000
100	0000100032	1000	10	00	AG	0000100032	000
100	0000100034	1000	10	00	AG	0000100034	000
100	0000100038	1000	10	00	AG	0000100038	000
100	0000100040	1000	10	00	AG	0000100040	000
100	0000100041	1000	10	00	AG	0000100041	000
100	0000100043	2000	10	00	AG	0000100043	000
100	0000100044	1000	10	00	AG	0000100044	000
100	0000100044	2000	10	00	AG	0000100044	000
100	0000100046	1000	10	00	AG	0000100046	000
100	0000100049	1000	10	00	AG	0000100049	000
100	0000100050	1000	10	00	AG	0000100050	000
100	0000100050	2000	10	00	AG	0000100050	000
100	0000100052	1000	10	00	AG	0000100052	000
100	0000100053	1000	10	00	AG	0000100053	000
100	0000100054	1000	10	00	AG	0000100054	000
100	0000100056	1000	10	00	AG	0000100056	000
100	0000100058	1000	10	00	AG	0000100058	000
100	0000100060	1000	10	00	AG	0000100060	000
100	0000100062	1000	10	00	AG	0000100062	000
100	0000100063	1000	10	00	AG	0000100063	000
100	0000100064	1000	10	00	AG	0000100064	000
100	0000100068	2000	10	00	AG	0000100068	000
100	0000100069	1000	10	00	AG	0000100069	000
100	0000100071	1000	10	00	AG	0000100071	000
100	0000100072	1000	10	00	AG	0000100072	000
100	0000100073	1000	10	00	AG	0000100073	000
100	0000100074	1000	10	00	AG	0000100074	000
100	0000100076	2000	10	00	AG	0000100076	000
100	0000100078	1000	10	00	AG	0000100078	000
100	0000100079	1000	10	00	AG	0000100079	000
100	0000100079	2000	10	00	AG	0000100079	000
100	0000100083	1000	10	00	AG	0000100083	000
100	0000100084	1000	10	00	AG	0000100084	000
100	0000100085	1000	10	00	AG	0000100085	000
100	0000100086	1000	10	00	AG	0000100086	000
100	0000100087	1000	10	00	AG	0000100087	000
100	0000100088	1000	10	00	AG	0000100088	000
100	0000100089	1000	10	00	AG	0000100089	000
100	0000100090	1000	10	00	AG	0000100090	000
100	0000100090	2000	10	00	AG	0000100090	000
100	0000100091	1000	10	00	AG	0000100091	000
100	0000100094	1000	10	00	AG	0000100094	000
100	0000100095	1000	10	00	AG	0000100095	000
100	0000100099	1000	10	00	AG	0000100099	000
100	0000100100	1000	10	00	AG	0000100100	000
100	0000100103	2000	10	00	AG	0000100103	000
100	0000100106	1000	10	00	AG	0000100106	000
100	0000100108	1000	10	00	AG	0000100108	000
100	0000100109	1000	10	00	AG	0000100109	000
100	0000100110	1000	10	00	AG	0000100110	000
100	0000100111	1000	10	00	AG	0000100111	000
100	0000100112	1000	10	00	AG	0000100112	000
100	0000100116	1000	10	00	AG	0000100116	000
100	0000100117	1000	10	00	AG	0000100117	000
100	0000100118	1000	10	00	AG	0000100118	000
