MANDT	LIFNR	LAND1	NAME1	NAME2	NAME3	NAME4	SORTL	ORT01	PSTLZ	REGIO	STRAS	PFACH	PSTL2	ADRNR	KTOKK	XCPDK	LOEVM	SPERR	LNRZA	KONZS	SPRAS	ERDAT	ERNAM	TELF1	STCD1	STCD2	STCEG
100	0000200000	CH	Neuweg Lagertechnik GmbH				NEUWEG	Basel	4051		Heideweg 104			0500000000	KRED						D	20230918	SAPUSER3	0413 2825419			CHE505813647MWST
100	0000200001	DE	Südfels Systemtechnik UG (haftungsbeschränkt)				SÜDFELS	Berlin	10115	BE	Heidegasse 116b			0500000001	KRED						D	20240603	SAPUSER3	0766 5462235	699/674/63770		DE530160562
100	0000200002	DE	Falkensee Druckguss GmbH & Co. KG				FALKENSEE	Sindelfingen	71063	BW	Schulring 150b			0500000002	KRED						D	20230121	SAPUSER5	0966 2986865	778/448/27712		DE614424271
100	0000200003	DE	Holunderfeld Textilien e.K.				HOLUNDERFE	Wesel	46483	NW	Ulmenstraße 97			0500000003	KRED						D	20230718	SAPUSER2	0430 7299139	743/765/27541		DE283840255
100	0000200004	NL	Lindenhaus Lebensmittel N.V.				LINDENHAUS	Utrecht	3511 LX		Lerchengasse 124a			0500000004	KRED						E	20220714	SAPUSER4	0214 2460963			NL884126809B67
100	0000200005	DE	Althaus Metallbau GmbH				ALTHAUS	Wuppertal	42103	NW	Birkenallee 41a			0500000005	LIEF	X					D	20200207	SAPUSER4	0878 6864572	565/426/54888		DE767594479
100	0000200006	DE	Mühlbach Lagertechnik GmbH				MÜHLBACH	Schwabach	91126	BY	Eichengasse 12			0500000006	KRED						D	20230719	SAPUSER3	0477 991575	446/774/38224		DE672221070
100	0000200007	DE	Kieferngrund Antriebstechnik OHG				KIEFERNGRU	Herford	32052	NW	Sonnenallee 147			0500000007	KRED						D	20200331	SAPUSER1	0621 7451361	123/416/49111		DE720345864
100	0000200008	DE	Altwald Behälterbau GmbH & Co. KG				ALTWALD	Konstanz	78462	BW	Rosenstraße 117a			0500000008	KRED						D	20240402	SAPUSER3	0840 3209924	668/418/58916		DE739349622
100	0000200009	DE	Berndorf Apparatebau GmbH & Co. KG				BERNDORF	Koblenz	56068	RP	Rosenplatz 103a			0500000009	KRED						D	20240810	SAPUSER3	0257 4848183	151/191/51783		DE881924422
100	0000200010	DE	Neuau Anlagenbau e.K.				NEUAU	Paderborn	33098	NW	Wiesengasse 74			0500000010	KRED						D	20220118	SAPUSER2	0642 2690662	933/858/22887		DE894199961
100	0000200011	AT	Südwald Fahrzeugteile KG				SÜDWALD	Klagenfurt	9020		Nussbaumweg 143			0500000011	KRED						D	20210506	SAPUSER4	0946 5443266			ATU77945600
100	0000200012	DE	Reinweg Hydraulik SE				REINWEG	Magdeburg	39104	ST	Sonnenplatz 110b			0500000012	KRED						D	20190624	SAPUSER5	0614 1441346	190/355/65491		DE133961516
100	0000200013	US	Holunderberg Chemie Inc.				HOLUNDERBE	Boston	02110	MA	Ahornallee 138			0500000013	KRED						E	20200517	SAPUSER1	0550 8043905			
