MANDT	LIFNR	BUKRS	AKONT	ZTERM	SPERR	LOEVM	ZWELS	ZAHLS	LNRZB	TOGRU	REPRF	ZUAWA	ERDAT	ERNAM
100	0000200000	1000	0000160000	ZB04			U				X	001	20230918	SAPUSER3
100	0000200000	2000	0000160000	ZB03			U				X	001	20230918	SAPUSER3
100	0000200001	1000	0000160000	ZB03			U				X	001	20240603	SAPUSER3
100	0000200002	1000	0000160000	ZB03			U				X	001	20230121	SAPUSER5
100	0000200003	1000	0000160000	ZB04			U				X	001	20230718	SAPUSER2
100	0000200004	1000	0000160000	ZB03			U				X	001	20220714	SAPUSER4
100	0000200005	1000	0000160000	ZB02			U				X	001	20200207	SAPUSER4
100	0000200006	2000	0000160000	ZB03			U				X	001	20230719	SAPUSER3
100	0000200007	1000	0000160000	ZB03			U				X	001	20200331	SAPUSER1
100	0000200008	1000	0000160000	ZB03			U				X	001	20240402	SAPUSER3
100	0000200009	2000	0000160000	ZB04			U				X	001	20240810	SAPUSER3
100	0000200010	1000	0000160000	ZB02			U				X	001	20220118	SAPUSER2
100	0000200011	1000	0000160000	ZB01			U				X	001	20210506	SAPUSER4
100	0000200012	2000	0000160000	ZB03			U				X	001	20190624	SAPUSER5
100	0000200013	1000	0000160000	ZB04			S				X	001	20200517	SAPUSER1
100	0000200014	1000	0000160000	ZB03			U				X	001	20201009	SAPUSER1
100	0000200015	1000	0000160000	ZB01			U				X	001	20190412	SAPUSER5
100	0000200017	1000	0000160000	ZB03			U				X	001	20230819	SAPUSER1
100	0000200021	1000	0000160000	ZB03			U				X	001	20201008	SAPUSER3
100	0000200023	1000	0000160000	ZB03			U				X	001	20211104	SAPUSER2
100	0000200024	1000	0000160000	ZB01			U				X	001	20210601	SAPUSER3
100	0000200024	2000	0000160000	ZB03			U				X	001	20210601	SAPUSER3
100	0000200025	1000	0000160000	ZB02			S				X	001	20211224	SAPUSER5
100	0000200027	2000	0000160000	ZB01			U				X	001	20220403	SAPUSER1
100	0000200029	1000	0000160000	ZB01			U				X	001	20191227	SAPUSER2
100	0000200030	2000	0000160000	ZB03			U				X	001	20190914	SAPUSER4
100	0000200031	1000	0000160000	ZB03			U				X	001	20230701	SAPUSER5
100	0000200033	1000	0000160000	ZB01			U				X	001	20210706	SAPUSER3
100	0000200034	1000	0000160000	ZB00			U				X	001	20240819	SAPUSER5
100	0000200037	1000	0000160000	ZB03			U				X	001	20220525	SAPUSER5
100	0000200038	2000	0000160000	ZB04			U				X	001	20210224	SAPUSER3
100	0000200039	1000	0000160000	ZB02			U				X	001	20211011	SAPUSER2
100	0000200043	2000	0000160000	ZB03			U				X	001	20220524	SAPUSER2
100	0000200046	2000	0000160000	ZB01			U				X	001	20240708	SAPUSER3
100	0000200048	1000	0000160000	ZB02			U				X	001	20231124	SAPUSER2
100	0000200050	2000	0000160000	ZB03			S				X	001	20240309	SAPUSER4
100	0000200051	1000	0000160000	ZB03			U				X	001	20221204	SAPUSER3
100	0000200052	1000	0000160000	ZB03			U				X	001	20240411	SAPUSER1
100	0000200053	1000	0000160000	ZB03			U				X	001	20230401	SAPUSER1
100	0000200056	1000	0000160000	ZB03			U				X	001	20190117	SAPUSER5
100	0000200057	1000	0000160000	ZB02			U				X	001	20230119	SAPUSER5
100	0000200059	1000	0000160000	ZB03			U				X	001	20210830	SAPUSER3
100	0000200060	2000	0000160000	ZB02			U				X	001	20220205	SAPUSER2
100	0000200061	1000	0000160000	ZB01			U				X	001	20191210	SAPUSER2
100	0000200063	1000	0000160000	ZB04			U				X	001	20190402	SAPUSER2
100	0000200064	1000	0000160000	ZB03			U				X	001	20220325	SAPUSER3
100	0000200067	2000	0000160000	ZB01			U				X	001	20200425	SAPUSER4
100	0000200068	1000	0000160000	ZB02			U				X	001	20191126	SAPUSER2
100	0000200069	1000	0000160000	ZB03			U				X	001	20230206	SAPUSER4
100	0000200071	2000	0000160000	ZB04			U				X	001	20191031	SAPUSER2
100	0000200072	1000	0000160000	ZB04			U				X	001	20240815	SAPUSER3
100	0000200073	1000	0000160000	ZB04			U				X	001	20190813	SAPUSER4
100	0000200074	1000	0000160000	ZB03			U				X	001	20240606	SAPUSER4
100	0000200074	2000	0000160000	ZB03			U				X	001	20240606	SAPUSER4
100	0000200075	2000	0000160000	ZB03			U				X	001	20210526	SAPUSER1
100	0000200077	2000	0000160000	ZB03			U				X	001	20190513	SAPUSER1
100	0000200081	1000	0000160000	ZB03			U				X	001	20230117	SAPUSER3
100	0000200081	2000	0000160000	ZB03			U				X	001	20230117	SAPUSER3
100	0000200082	1000	0000160000	ZB02			U				X	001	20210122	SAPUSER3
100	0000200082	2000	0000160000	ZB04			U				X	001	20210122	SAPUSER3
100	0000200083	1000	0000160000	ZB04			S				X	001	20230413	SAPUSER4
100	0000200083	2000	0000160000	ZB01			S				X	001	20230413	SAPUSER4
100	0000200084	1000	0000160000	ZB03			U					001	20201113	SAPUSER1
100	0000200085	1000	0000160000	ZB04			U					001	20220928	SAPUSER4
100	0000200087	1000	0000160000	ZB04			S				X	001	20221103	SAPUSER1
100	0000200088	2000	0000160000	ZB03			U					001	20240315	SAPUSER4
100	0000200091	1000	0000160000	ZB03			U					001	20210624	SAPUSER4
100	0000200092	1000	0000160000	ZB02			U				X	001	20201031	SAPUSER4
100	0000200092	2000	0000160000	ZB03			U				X	001	20201031	SAPUSER4
100	0000200093	1000	0000160000	ZB04			S				X	001	20191125	SAPUSER3
100	0000200095	1000	0000160000	ZB03			U					001	20230103	SAPUSER4
100	0000200097	1000	0000160000	ZB03			U					001	20221017	SAPUSER2
100	0000200098	2000	0000160000	ZB04			U					001	20190624	SAPUSER4
100	0000200099	2000	0000160000	ZB01			U					001	20240724	SAPUSER5
100	0000200100	1000	0000160000	ZB03			U				X	001	20240716	SAPUSER2
100	0000200101	1000	0000160000	ZB03			U					001	20231107	SAPUSER1
100	0000200102	1000	0000160000	ZB01			U					001	20240220	SAPUSER4
100	0000200103	1000	0000160000	ZB03			U				X	001	20200129	SAPUSER5
100	0000200106	1000	0000160000	ZB01			U					001	20221015	SAPUSER2
100	0000200107	1000	0000160000	ZB02			U				X	001	20200313	SAPUSER4
100	0000200108	1000	0000160000	ZB01			U				X	001	20210810	SAPUSER2
100	0000200109	1000	0000160000	ZB00			U					001	20210106	SAPUSER3
100	0000200110	1000	0000160000	ZB02			U					001	20190817	SAPUSER2
100	0000200111	1000	0000160000	ZB03			U				X	001	20230617	SAPUSER2
100	0000200112	1000	0000160000	ZB02			U					001	20231222	SAPUSER3
100	0000200113	1000	0000160000	ZB04			U					001	20221028	SAPUSER1
100	0000200116	1000	0000160000	ZB02			U				X	001	20200228	SAPUSER4
100	0000200117	1000	0000160000	ZB02			U				X	001	20231125	SAPUSER2
100	0000200118	1000	0000160000	ZB03			U					001	20220629	SAPUSER1
100	0000200119	1000	0000160000	ZB00			U				X	001	20210525	SAPUSER5
100	0000200119	2000	0000160000	ZB01			U				X	001	20210525	SAPUSER5
100	0000200120	1000	0000160000	ZB02			U				X	001	20220415	SAPUSER2
100	0000200121	1000	0000160000	ZB01			U				X	001	20220721	SAPUSER4
100	0000200122	1000	0000160000	ZB03			U					001	20210807	SAPUSER1
100	0000200124	1000	0000160000	ZB03			U					001	20191112	SAPUSER4
100	0000200125	1000	0000160000	ZB04			U					001	20230406	SAPUSER2
100	0000200126	2000	0000160000	ZB00			U				X	001	20210725	SAPUSER1
100	0000200130	2000	0000160000	ZB01			U					001	20240425	SAPUSER1
100	0000200131	1000	0000160000	ZB03			U					001	20230414	SAPUSER5
100	0000200132	1000	0000160000	ZB02			U					001	20190630	SAPUSER3
100	0000200133	1000	0000160000	ZB02			U				X	001	20200909	SAPUSER1
100	0000200134	1000	0000160000	ZB01			U					001	20211022	SAPUSER5
100	0000200136	1000	0000160000	ZB04			U				X	001	20190626	SAPUSER2
100	0000200136	2000	0000160000	ZB04			U				X	001	20190626	SAPUSER2
100	0000200137	1000	0000160000	ZB04			S					001	20230611	SAPUSER2
100	0000200138	1000	0000160000	ZB01			U					001	20221118	SAPUSER1
100	0000200139	1000	0000160000	ZB04			U				X	001	20190128	SAPUSER5
100	0000200140	1000	0000160000	ZB01			U				X	001	20220830	SAPUSER2
100	0000200140	2000	0000160000	ZB04			U				X	001	20220830	SAPUSER2
100	0000200141	1000	0000160000	ZB02			U					001	20201116	SAPUSER5
100	0000200142	1000	0000160000	ZB03			U				X	001	20200613	SAPUSER3
100	0000200142	2000	0000160000	ZB01			U				X	001	20200613	SAPUSER3
100	0000200143	1000	0000160000	ZB03			U				X	001	20230904	SAPUSER5
100	0000200144	1000	0000160000	ZB03			U					001	20200612	SAPUSER5
100	0000200145	2000	0000160000	ZB02			U					001	20221209	SAPUSER1
100	0000200146	1000	0000160000	ZB03			U				X	001	20220319	SAPUSER3
100	0000200147	2000	0000160000	ZB03			U					001	20210805	SAPUSER2
100	0000200148	2000	0000160000	ZB00			U					001	20190928	SAPUSER2
100	0000200150	2000	0000160000	ZB03			U				X	001	20190907	SAPUSER1
100	0000200151	2000	0000160000	ZB03			U				X	001	20231005	SAPUSER5
100	0000200152	2000	0000160000	ZB00			U				X	001	20230531	SAPUSER2
100	0000200153	1000	0000160000	ZB04			U				X	001	20200429	SAPUSER1
100	0000200154	1000	0000160000	ZB02			U				X	001	20190904	SAPUSER4
100	0000200155	1000	0000160000	ZB04			U				X	001	20230715	SAPUSER4
100	0000200156	1000	0000160000	ZB03			U				X	001	20200718	SAPUSER4
100	0000200158	1000	0000160000	ZB03			U				X	001	20200813	SAPUSER2
100	0000200160	1000	0000160000	ZB01			U				X	001	20240830	SAPUSER3
100	0000200160	2000	0000160000	ZB03			U				X	001	20240830	SAPUSER3
100	0000200161	1000	0000160000	ZB02			U				X	001	20230214	SAPUSER4
100	0000200162	1000	0000160000	ZB01			U				X	001	20230102	SAPUSER1
100	0000200164	2000	0000160000	ZB01			U				X	001	20220121	SAPUSER2
100	0000200168	1000	0000160000	ZB02			U				X	001	20201206	SAPUSER4
100	0000200169	1000	0000160000	ZB03			U				X	001	20240602	SAPUSER5
100	0000200170	1000	0000160000	ZB04			U				X	001	20240221	SAPUSER3
100	0000200171	1000	0000160000	ZB03			U				X	001	20231120	SAPUSER3
100	0000200173	1000	0000160000	ZB03			U				X	001	20210212	SAPUSER4
100	0000200175	1000	0000160000	ZB04			U				X	001	20210211	SAPUSER1
100	0000200175	2000	0000160000	ZB04			U				X	001	20210211	SAPUSER1
