MANDT	KUNNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	HKONT	AUGDT	AUGBL
100	0000103219	3000	2024	1400000001	001	20240930	20240930	20240930	DZ	15	H		CHF	4.174,07	4.174,07		1800000008	Zahlung	20240930		0	0,000	0,00	0,00	E				20240930	1400000001
100	0000103352	3000	2024	1400000002	001	20241007	20241007	20241007	DZ	15	H		CHF	15.772,59	15.772,59		1800000005	Zahlung	20241007		0	0,000	0,00	0,00	E				20241007	1400000002
100	0000103679	3000	2024	1400000003	001	20241007	20241007	20241007	DZ	15	H		CHF	3.603,75	3.603,75		1800000001	Zahlung	20241007		0	0,000	0,00	0,00	E				20241007	1400000003
100	0000103363	3000	2024	1400000004	001	20241009	20241009	20241009	DZ	15	H		CHF	2.337,52	2.337,52		1800000006	Zahlung	20241009		0	0,000	0,00	0,00	E				20241009	1400000004
100	0000103367	3000	2024	1400000005	001	20241009	20241009	20241009	DZ	15	H		CHF	38.498,40	38.498,40		1800000002	Zahlung	20241009		0	0,000	0,00	0,00	E				20241009	1400000005
100	0000103367	3000	2024	1400000006	001	20241015	20241015	20241015	DZ	15	H		CHF	91.253,98	91.253,98		1800000010	Zahlung	20241015		0	0,000	0,00	0,00	E				20241015	1400000006
100	0000103352	3000	2024	1400000007	001	20241017	20241017	20241017	DZ	15	H		CHF	63.564,46	63.564,46		1800000011	Zahlung	20241017		0	0,000	0,00	0,00	E				20241017	1400000007
100	0000103363	3000	2024	1400000008	001	20241028	20241028	20241028	DZ	15	H		CHF	1.962,65	1.962,65		1800000012	Zahlung	20241028		0	0,000	0,00	0,00	E				20241028	1400000008
100	0000103225	3000	2024	1400000009	001	20241108	20241108	20241108	DZ	15	H		CHF	24.968,64	24.968,64		1800000009	Zahlung	20241108		0	0,000	0,00	0,00	E				20241108	1400000009
100	0000103219	3000	2024	1400000010	001	20241112	20241112	20241112	DZ	15	H		CHF	9.680,61	9.680,61		1800000017	Zahlung	20241112		0	0,000	0,00	0,00	E				20241112	1400000010
100	0000103225	3000	2024	1400000011	001	20241202	20241202	20241202	DZ	15	H		CHF	6.172,35	6.172,35		1800000014	Zahlung	20241202		0	0,000	0,00	0,00	E				20241202	1400000011
100	0000103352	3000	2024	1400000012	001	20241209	20241209	20241209	DZ	15	H		CHF	5.474,28	5.474,28		1800000018	Zahlung	20241209		0	0,000	0,00	0,00	E				20241209	1400000012
100	0000103352	3000	2024	1400000013	001	20241225	20241225	20241225	DZ	15	H		CHF	34.796,91	34.796,91		1800000022	Zahlung	20241225		0	0,000	0,00	0,00	E				20241225	1400000013
100	0000103352	3000	2024	1400000014	001	20241230	20241230	20241230	DZ	15	H		CHF	19.121,20	19.121,20		1800000023	Zahlung	20241230		0	0,000	0,00	0,00	E				20241230	1400000014
100	0000103679	3000	2024	1800000001	001	20240906	20240904	20240906	DR	01	S		CHF	3.603,75	3.603,75	RG-100158	20240904	Rechnung	20240904	ZB02	14	2,000	3.603,75	0,00	E				20241007	1400000003
