MANDT	LIFNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	EBELN	HKONT	AUGDT	AUGBL
100	0000202174	3000	2024	1500000001	001	20241021	20241021	20241021	KZ	25	S		CHF	2.367,85	2.367,85		1900000006	Zahlung	20241021		0	0,000	0,00	0,00	U					20241021	1500000001
100	0000202588	3000	2024	1500000002	001	20241021	20241021	20241021	KZ	25	S		CHF	9.749,16	9.749,16		1900000008	Zahlung	20241021		0	0,000	0,00	0,00	U					20241021	1500000002
100	0000202511	3000	2024	1500000003	001	20241030	20241030	20241030	KZ	25	S		CHF	2.019,91	2.019,91		1900000002	Zahlung	20241030		0	0,000	0,00	0,00	U					20241030	1500000003
100	0000202646	3000	2024	1500000004	001	20241104	20241104	20241104	KZ	25	S		CHF	1.818,09	1.818,09		1900000001	Zahlung	20241104		0	0,000	0,00	0,00	U					20241104	1500000004
100	0000202588	3000	2024	1500000005	001	20241106	20241106	20241106	KZ	25	S		CHF	80.156,65	80.156,65		1900000010	Zahlung	20241106		0	0,000	0,00	0,00	U					20241106	1500000005
100	0000202636	3000	2024	1500000006	001	20241118	20241118	20241118	KZ	25	S		CHF	1.481,69	1.481,69		1900000004	Zahlung	20241118		0	0,000	0,00	0,00	U					20241118	1500000006
100	0000202636	3000	2024	1500000007	001	20241122	20241122	20241122	KZ	25	S		CHF	562,02	562,02		1900000007	Zahlung	20241122		0	0,000	0,00	0,00	U					20241122	1500000007
100	0000202646	3000	2024	1900000001	001	20240906	20240903	20240906	KR	31	H		CHF	1.818,09	1.818,09	RE-100069	20240903	Rechnung	20240903	ZB04	0	0,000	0,00	0,00	U					20241104	1500000004
100	0000202511	3000	2024	1900000002	001	20240910	20240909	20240910	KR	31	H		CHF	2.019,91	2.019,91	RE-100026	20240909	Rechnung	20240909	ZB01	10	3,000	2.019,91	0,00	U					20241030	1500000003
100	0000202636	3000	2024	1900000004	001	20240917	20240917	20240917	KR	31	H		CHF	1.481,69	1.481,69	RE-100066	20240917	Rechnung	20240917	ZB04	0	0,000	0,00	0,00	U					20241118	1500000006
