MANDT	KUNNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	HKONT	AUGDT	AUGBL
100	0000103367	3000	2024	1600000001	001	20241014	20241014	20241014	DG	11	H		CHF	4.562,70	4.562,70	GS-RG-100149	1800000010	Gutschrift	20241014	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103225	3000	2024	1800000003	001	20240911	20240911	20240911	DR	01	S		CHF	7.762,10	7.762,10	RG-100054	20240911	Rechnung	20240911	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103233	3000	2024	1800000004	001	20240912	20240911	20240912	DR	01	S		CHF	13.726,35	13.726,35	RG-100072	20240911	Rechnung	20240911	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103233	3000	2024	1800000007	001	20240916	20240913	20240916	DR	01	S		CHF	20.970,18	20.970,18	RG-100066	20240913	Rechnung	20240913	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103720	3000	2024	1800000013	001	20241011	20241010	20241011	DR	01	S		CHF	11.047,63	11.047,63	RG-100175	20241010	Rechnung	20241010	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103352	3000	2024	1800000015	001	20241022	20241021	20241022	DR	01	S		CHF	92.724,15	92.724,15	RG-100089	20241021	Rechnung	20241021	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103054	3000	2024	1800000016	001	20241023	20241023	20241023	DR	01	S		CHF	1.580,56	1.580,56	RG-100005	20241023	Rechnung	20241023	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103225	3000	2024	1800000019	001	20241114	20241111	20241114	DR	01	S		CHF	12.912,40	12.912,40	RG-100052	20241111	Rechnung	20241111	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103352	3000	2024	1800000020	001	20241114	20241113	20241114	DR	01	S		CHF	107.041,12	107.041,12	RG-100094	20241113	Rechnung	20241113	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103352	3000	2024	1800000021	001	20241125	20241121	20241125	DR	01	S		CHF	52.884,41	52.884,41	RG-100100	20241121	Rechnung	20241121	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103206	3000	2024	1800000024	001	20241206	20241206	20241206	DR	01	S		CHF	1.199,32	1.199,32	RG-100015	20241206	Rechnung	20241206	ZB01	10	3,000	1.199,32	0,00	E				00000000	
100	0000103219	3000	2024	1800000029	001	20241230	20241226	20241230	DR	01	S		CHF	24.091,07	24.091,07	RG-100026	20241226	Rechnung	20241226	ZB02	14	2,000	24.091,07	0,00	E				00000000	
100	0000103352	3000	2024	1800000030	001	20241230	20241230	20241230	DR	01	S		CHF	92.063,42	92.063,42	RG-100087	20241230	Rechnung	20241230	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103225	3000	2025	1600000001	001	20250630	20250630	20250630	DG	11	H		CHF	465,57	465,57	GS-RG-100046	1800000049	Gutschrift	20250630	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103720	3000	2025	1800000003	001	20250102	20250102	20250102	DR	01	S		CHF	15.040,97	15.040,97	RG-100169	20250102	Rechnung	20250102	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103233	3000	2025	1800000005	001	20250108	20250107	20250108	DR	01	S		CHF	3.021,30	3.021,30	RG-100065	20250107	Rechnung	20250107	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103352	3000	2025	1800000009	001	20250128	20250127	20250128	DR	01	S		CHF	22.779,53	22.779,53	RG-100103	20250127	Rechnung	20250127	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103367	3000	2025	1800000011	001	20250129	20250129	20250129	DR	01	S		CHF	14.977,23	14.977,23	RG-100135	20250129	Rechnung	20250129	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103225	3000	2025	1800000013	001	20250131	20250129	20250131	DR	01	S		CHF	19.435,56	19.435,56	RG-100048	20250129	Rechnung	20250129	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103206	3000	2025	1800000014	001	20250203	20250131	20250203	DR	01	S		CHF	325,22	325,22	RG-100013	20250131	Rechnung	20250131	ZB01	10	3,000	325,22	0,00	E				00000000	
100	0000103352	3000	2025	1800000016	001	20250206	20250203	20250206	DR	01	S		CHF	50.077,38	50.077,38	RG-100111	20250203	Rechnung	20250203	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103233	3000	2025	1800000020	001	20250219	20250217	20250219	DR	01	S		CHF	12.903,15	12.903,15	RG-100074	20250217	Rechnung	20250217	ZB04	0	0,000	0,00	0,00	E				00000000	
100	0000103367	3000	2025	1800000023	001	20250226	20250224	20250226	DR	01	S		CHF	56.384,49	56.384,49	RG-100134	20250224	Rechnung	20250224	ZB03	0	0,000	0,00	0,00	E				00000000	
100	0000103679	3000	2025	1800000025	001	20250306	20250303	20250306	DR	01	S		CHF	7.516,75	7.516,75	RG-100155	20250303	Rechnung	20250303	ZB02	14	2,000	7.516,75	0,00	E				00000000	
