MANDT	LIFNR	BUKRS	GJAHR	BELNR	BUZEI	BUDAT	BLDAT	CPUDT	BLART	BSCHL	SHKZG	UMSKZ	WAERS	WRBTR	DMBTR	XBLNR	ZUONR	SGTXT	ZFBDT	ZTERM	ZBD1T	ZBD1P	SKFBT	SKNTO	ZLSCH	ZLSPR	REBZG	EBELN	HKONT	AUGDT	AUGBL
100	0000202511	3000	2024	1900000003	001	20240911	20240911	20240911	KR	31	H		CHF	1.346,54	1.346,54	RE-100022	20240911	Rechnung	20240911	ZB01	10	3,000	1.346,54	0,00	U					00000000	
100	0000202646	3000	2024	1900000005	001	20240919	20240916	20240919	KR	31	H		CHF	456,30	456,30	RE-100071	20240916	Rechnung	20240916	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202588	3000	2024	1900000009	001	20241104	20241104	20241104	KR	31	H		CHF	55.569,42	55.569,42	RE-100038	20241104	Rechnung	20241104	ZB01	10	3,000	55.569,42	0,00	U					00000000	
100	0000202280	3000	2024	1900000011	001	20241223	20241219	20241223	KR	31	H		CHF	21.220,20	21.220,20	RE-100010	20241219	Rechnung	20241219	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202174	3000	2025	1700000001	001	20250114	20250114	20250114	KG	21	S		CHF	286,12	286,12	GS-RE-100001	1900000004	Gutschrift	20250114	ZB01	0	0,000	0,00	0,00	U					00000000	
100	0000202280	3000	2025	1700000002	001	20250815	20250815	20250815	KG	21	S		CHF	986,23	986,23	GS-RE-100013	1900000023	Gutschrift	20250815	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202280	3000	2025	1900000002	001	20250106	20250101	20250106	KR	31	H		CHF	19.311,97	19.311,97	RE-100014	20250101	Rechnung	20250101	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202588	3000	2025	1900000005	001	20250129	20250128	20250129	KR	31	H		CHF	10.341,91	10.341,91	RE-100053	20250128	Rechnung	20250128	ZB01	10	3,000	10.341,91	0,00	U					00000000	
100	0000202511	3000	2025	1900000009	001	20250401	20250331	20250401	KR	31	H		CHF	630,42	630,42	RE-100024	20250331	Rechnung	20250331	ZB01	10	3,000	630,42	0,00	U					00000000	
100	0000202511	3000	2025	1900000013	001	20250506	20250505	20250506	KR	31	H		CHF	578,68	578,68	RE-100028	20250505	Rechnung	20250505	ZB01	10	3,000	578,68	0,00	U					00000000	
100	0000202588	3000	2025	1900000016	001	20250527	20250526	20250527	KR	31	H		CHF	103.686,90	103.686,90	RE-100041	20250526	Rechnung	20250526	ZB01	10	3,000	103.686,90	0,00	U					00000000	
100	0000202646	3000	2025	1900000020	001	20250620	20250619	20250620	KR	31	H		CHF	400,04	400,04	RE-100067	20250619	Rechnung	20250619	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202280	3000	2025	1900000023	001	20250711	20250708	20250711	KR	31	H		CHF	5.479,03	5.479,03	RE-100013	20250708	Rechnung	20250708	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202782	3000	2025	1900000024	001	20250730	20250728	20250730	KR	31	H		CHF	257,88	257,88	RE-100074	20250728	Rechnung	20250728	ZB02	14	2,000	257,88	0,00	U					00000000	
100	0000202511	3000	2025	1900000025	001	20250820	20250820	20250820	KR	31	H		CHF	608,78	608,78	RE-100023	20250820	Rechnung	20250820	ZB01	10	3,000	608,78	0,00	U					00000000	
100	0000202588	3000	2025	1900000027	001	20250919	20250916	20250919	KR	31	H		CHF	111.775,12	111.775,12	RE-100036	20250916	Rechnung	20250916	ZB01	10	3,000	111.775,12	0,00	U					00000000	
100	0000202646	3000	2025	1900000031	001	20251015	20251014	20251015	KR	31	H		CHF	2.122,16	2.122,16	RE-100073	20251014	Rechnung	20251014	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202588	3000	2025	1900000038	001	20251231	20251231	20251231	KR	31	H		CHF	95.715,08	95.715,08	RE-100029	20251231	Rechnung	20251231	ZB01	10	3,000	95.715,08	0,00	U					00000000	
100	0000202511	3000	2026	1900000005	001	20260216	20260213	20260216	KR	31	H		CHF	911,65	911,65	RE-100025	20260213	Rechnung	20260213	ZB01	10	3,000	911,65	0,00	U					00000000	
100	0000202646	3000	2026	1900000008	001	20260305	20260303	20260305	KR	31	H		CHF	947,77	947,77	RE-100068	20260303	Rechnung	20260303	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202280	3000	2026	1900000009	001	20260326	20260326	20260326	KR	31	H		CHF	16.428,28	16.428,28	RE-100018	20260326	Rechnung	20260326	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202280	3000	2026	1900000010	001	20260409	20260407	20260409	KR	31	H		CHF	2.515,93	2.515,93	RE-100015	20260407	Rechnung	20260407	ZB04	0	0,000	0,00	0,00	U					00000000	
100	0000202588	3000	2026	1900000011	001	20260415	20260413	20260415	KR	31	H		CHF	38.592,13	38.592,13	RE-100037	20260413	Rechnung	20260413	ZB01	10	3,000	38.592,13	0,00	U					00000000	
100	0000202588	3000	2026	1900000012	001	20260422	20260420	20260422	KR	31	H		CHF	105.974,65	105.974,65	RE-100044	20260420	Rechnung	20260420	ZB01	10	3,000	105.974,65	0,00	U					00000000	
100	0000202280	3000	2026	1900000014	001	20260518	20260518	20260518	KR	31	H		CHF	21.662,21	21.662,21	RE-100020	20260518	Rechnung	20260518	ZB04	0	0,000	0,00	0,00	U					00000000	
