MANDT	KUNNR	LAND1	NAME1	NAME2	NAME3	NAME4	SORTL	ORT01	PSTLZ	REGIO	STRAS	PFACH	PSTL2	ADRNR	KTOKD	XCPDK	LOEVM	SPERR	KNRZA	KONZS	SPRAS	ERDAT	ERNAM	TELF1	STCD1	STCD2	STCEG
100	0000103054	DE	Ostfurt Schleiftechnik GmbH				OSTFURT	Neuss	41460	NW	Birkendamm 76a			0500000000	DEBI						D	20210127	SAPUSER1	0567 4174880	729/371/65152		DE472338634
100	0000103206	DE	Rheinwald Metallbau GmbH & Co. KG				RHEINWALD	Stralsund	18439	MV	Schulring 71			0500000001	DEBI						D	20220905	SAPUSER2	0218 8703980	198/928/95491		DE552578605
100	0000103215	DE	Dornbach Elektrotechnik UG (haftungsbeschränkt)				DORNBACH	Stuttgart	70173	BW	Industriestraße 156a			0500000002	KUNA	X					D	20230809	SAPUSER2	0756 538550	212/369/30062		DE495205087
100	0000103219	DE	Westwald Baustoffe GmbH				WESTWALD	Passau	94032	BY	Raiffeisendamm 195	76608	94032	0500000003	DEBI						D	20211110	SAPUSER3	0666 4533472	791/477/81622		DE623370870
100	0000103225	IT	Erlenstein Lebensmittel S.r.l.				ERLENSTEIN	Verona	37121		Rosenplatz 192			0500000004	DEBI						I	20231118	SAPUSER3	0427 1008681			IT99714669737
100	0000103233	DE	Dornfeld Stahlbau e.K.				DORNFELD	Rheine	48431	NW	Industriering 79a			0500000005	DEBI						D	20190322	SAPUSER4	0331 5323439	789/184/33115		DE314966295
100	0000103260	US	Hartfeld Recycling LLC				HARTFELD	Atlanta	30303	GA	Birkenweg 108a			0500000006	DEBI						E	20210113	SAPUSER4	0691 9696569			
100	0000103352	DE	Falkenbach Handel GmbH				FALKENBACH	Heilbronn	74072	BW	Brunnenring 120			0500000007	DEBI						D	20231106	SAPUSER2	0791 9967361	323/490/44944		DE410174331
100	0000103363	DE	Sanddorf Aufzugstechnik UG (haftungsbeschränkt)				SANDDORF	Erlangen	91052	BY	Postweg 59			0500000008	DEBI						D	20231117	SAPUSER5	0870 8170995	994/412/91515		DE689178400
100	0000103367	DE	Talwald Industrieservice GmbH				TALWALD	Kaufbeuren	87600	BY	Hafenstraße 88			0500000009	DEBI						D	20210122	SAPUSER1	0485 6600468	775/610/36749		DE805192751
100	0000103679	DE	Steinhaus Antriebstechnik GmbH & Co. KG				STEINHAUS	Troisdorf	53840	NW	Bahnhofgasse 122a			0500000010	DEBI						D	20231127	SAPUSER1	0783 7448191	369/200/14136		DE482312840
100	0000103720	DE	Birkendorf Zerspanung UG (haftungsbeschränkt)				BIRKENDORF	Bergisch Gladbach	51465	NW	Burggasse 174a			0500000011	DEBI						D	20201229	SAPUSER2	0341 8361668	498/276/93762		DE760286302
