MANDT	KUNNR	BUKRS	AKONT	ZTERM	MAHNA	SPERR	LOEVM	ZWELS	ZAHLS	KNRZB	TOGRU	ZUAWA	ERDAT	ERNAM
100	0000103054	3000	0000140000	ZB03	0001			E				001	20210127	SAPUSER1
100	0000103206	3000	0000140000	ZB01	0001			E				001	20220905	SAPUSER2
100	0000103215	3000	0000140000	ZB03	0001			E				001	20230809	SAPUSER2
100	0000103219	3000	0000140000	ZB02	0001			E				001	20211110	SAPUSER3
100	0000103225	3000	0000140000	ZB03	0001			E				001	20231118	SAPUSER3
100	0000103233	3000	0000140000	ZB04	0001			E				001	20190322	SAPUSER4
100	0000103260	3000	0000140000	ZB00	0001							001	20210113	SAPUSER4
100	0000103352	3000	0000140000	ZB03	0001			E				001	20231106	SAPUSER2
100	0000103363	3000	0000140000	ZB03	0001			E				001	20231117	SAPUSER5
100	0000103367	3000	0000140000	ZB03	0001			E				001	20210122	SAPUSER1
100	0000103679	3000	0000140000	ZB02	0001			E				001	20231127	SAPUSER1
100	0000103720	3000	0000140000	ZB04	0001			E				001	20201229	SAPUSER2
