MANDT	KUNNR	VKORG	VTWEG	SPART	PARVW	KUNN2	PARZA
100	0000103054	3000	10	00	AG	0000103054	000
100	0000103206	3000	10	00	AG	0000103206	000
100	0000103215	3000	10	00	AG	0000103215	000
100	0000103219	3000	10	00	AG	0000103219	000
100	0000103225	3000	10	00	AG	0000103225	000
100	0000103233	3000	10	00	AG	0000103233	000
100	0000103260	3000	10	00	AG	0000103260	000
100	0000103352	3000	10	00	AG	0000103352	000
100	0000103363	3000	10	00	AG	0000103363	000
100	0000103367	3000	10	00	AG	0000103367	000
100	0000103679	3000	10	00	AG	0000103679	000
100	0000103720	3000	10	00	AG	0000103720	000
